"Year","PgCO2_to_atmos_cumulative_global_alldepths","PgCO2_to_atmos_cumulative_global_200m_less","PgCO2_to_atmos_cumulative_global_200m_greater","PgCO2_to_atmos_cumulative_global_400m_greater","PgCO2_to_atmos_cumulative_global_alldepths_unadjusted","PgCO2_to_atmos_cumulative_global_200m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_400m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_200m_less_unadjusted"
78,43.6250760271511,39.4950403614695,4.13003566568226,1.39431908106766,47.7328570319091,10.5104952776515,5.29126586544954,37.3398461680521
79,44.181492488273,39.988081787435,4.19341070083867,1.41752865897084,48.3183481481881,10.6394169889298,5.35616852057492,37.7978566366064
80,44.7380540383684,40.4811442347706,4.25690980359854,1.44081966515277,48.9038392644672,10.7683387002081,5.42107117570031,38.2558671051607
81,45.2947576462908,40.9742271574061,4.32053048888531,1.46419081292713,49.4893303807463,10.8972604114865,5.4859738308257,38.713877573715
82,45.8516003941371,41.4673300336004,4.38427036053729,1.48764084701904,50.0748214970253,11.0261821227648,5.55087648595108,39.1718880422694
83,46.4085794688857,41.9604523646499,4.44812710423647,1.51116853949136,50.6603126133044,11.1551038340432,5.61577914107647,39.6298985108237
84,46.9656921597068,42.4535936736771,4.51209848603045,1.53477269109405,51.2458037295835,11.2840255453215,5.68068179620186,40.087908979378
85,47.5229358532724,42.9467535044913,4.5761823487818,1.55845213037986,51.8312948458625,11.4129472565998,5.74558445132724,40.5459194479324
86,48.0803080295526,43.4399314205214,4.64037660903181,1.58220571308251,52.4167859621416,11.5418689678782,5.81048710645263,41.0039299164867
87,48.6378062577045,43.9331270038104,4.70467925389484,1.60603232138195,53.0022770784207,11.6707906791565,5.87538976157802,41.461940385041
88,49.1954281921943,44.4263398540707,4.76908833812435,1.62993086320602,53.5877681946997,11.7997123904349,5.9402924167034,41.9199508535953
89,49.7531715694174,44.9195695877972,4.83360198162092,1.65390027178082,54.1732593109788,11.9286341017132,6.00519507182879,42.3779613221497
90,50.3110342036654,45.4128158374315,4.8982183662346,1.67793950455056,54.7587504272579,12.0575558129915,6.07009772695418,42.835971790704
91,50.869013984033,45.9060782505759,4.96293573345785,1.70204754270092,55.3442415435369,12.1864775242699,6.13500038207957,43.2939822592583
92,51.4271088714059,46.399356489252,5.02775238215463,1.72622339063299,55.929732659816,12.3153992355482,6.19990303720495,43.7519927278127
93,51.9853168955413,46.8926502292047,5.09266666633736,1.75046607541263,56.5152237760951,12.4443209468266,6.26480569233034,44.210003196367
94,52.5436361565349,47.3859591592438,5.15767699729194,1.7747746504735,57.1007148923741,12.5732426581049,6.32970834745573,44.6680136649213
95,53.1020648135442,47.8792829806244,5.2227818329207,1.79914818644924,57.6862060086532,12.7021643693832,6.39461100258111,45.1260241334756
96,53.6606010855389,48.3726214064613,5.28797967907852,1.82358577391604,58.2716971249323,12.8310860806616,6.4595136577065,45.58403460203
97,54.2192432502579,48.8659741611769,5.35326908908186,1.84808652423042,58.8571882412113,12.9600077919399,6.52441631283189,46.0420450705843
98,54.7779896417467,49.3593409799801,5.41864866176735,1.87264956884408,59.4426793574904,13.0889295032183,6.58931896795727,46.5000555391386
99,55.3368386480763,49.8527216083721,5.48411703970491,1.89727405870491,60.0281704737695,13.2178512144966,6.65422162308266,46.958066007693
100,55.8957887092094,50.346115801681,5.54967290752925,1.92195916371266,60.6136615900485,13.3467729257749,6.71912427820805,47.4160764762473
101,56.4548383149872,50.83952332462,5.61531499036798,1.9467040722112,61.1991527063276,13.4756946370533,6.78402693333343,47.8740869448016
102,57.0139860032211,51.3329439508702,5.68104205235162,1.97150799050677,61.7846438226067,13.6046163483316,6.84892958845882,48.3320974133559
103,57.5732303578799,51.8263774626842,5.74685289519642,1.99637014240606,62.3701349388857,13.73353805961,6.91383224358421,48.7901078819103
104,58.1325700073632,52.3198236505114,5.81274635685261,2.02128976877064,62.9556260551648,13.8624597708883,6.97873489870959,49.2481183504646
105,58.6920036228549,52.8132823126426,5.87872131021301,2.04626612708529,63.5411171714439,13.9913814821666,7.04363755383498,49.7061288190189
106,59.2515299167485,53.3067532548715,5.94477666187773,2.07129849103904,64.1266082877229,14.120303193445,7.10854020896037,50.1641392875732
107,59.8111476411457,53.800236290175,6.01091135097137,2.09638615011779,64.712099404002,14.2492249047233,7.17344286408575,50.6221497561276
108,60.3708555864169,54.2937312384084,6.07712434800933,2.12152840920799,65.2975905202811,14.3781466160016,7.23834551921114,51.0801602246819
109,60.9306525798255,54.7872379260156,6.14341465381081,2.14672458821082,65.8830816365601,14.50706832728,7.30324817433653,51.5381706932362
